index,datasetID,title,minTime,maxTime,Lat,Lon,tabfile
24,pmel_co2_moorings_e348_a811_d900,SOFS  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2011-11-24T09:47:00Z,2021-04-24T00:17:00Z,-46.8,142.0,SOFS.txt
25,pmel_co2_moorings_d8ff_e199_6ba0,JKEO  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2007-02-18T15:03:00Z,2007-10-03T21:16:00Z,37.93,146.52,JKEO.txt
26,pmel_co2_moorings_ec3a_a5d3_70e4,KEO  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2007-09-26T10:07:00Z,2020-05-19T03:17:00Z,32.28,144.58,KEO.txt
27,pmel_co2_moorings_9bc0_7e75_7ae7,MOSEAN/WHOTS  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2004-12-19T23:55:00Z,2018-09-27T00:16:00Z,22.67,-157.98,WHOTS.txt
28,pmel_co2_moorings_c24f_d404_46d8,Kaneohe  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2011-09-30T03:17:00Z,2020-10-20T18:17:00Z,21.48,-157.78,KANEOHE.txt
29,pmel_co2_moorings_7c7e_d9cd_9495,CRIMP2  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2008-06-11T00:16:00Z,2019-02-23T18:17:00Z,21.458,-157.798,CRIMP2.txt
30,pmel_co2_moorings_0088_00e7_268c,CRIMP1  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2005-12-01T00:16:00Z,2008-05-30T21:16:00Z,21.428,-157.788,CRIMP1.txt
31,pmel_co2_moorings_991f_8201_6974,Kilo Nalu  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2008-06-07T18:17:00Z,2019-05-16T18:17:00Z,21.288,-157.865,KILONALU.txt
32,pmel_co2_moorings_e8f3_34cc_72d0,Ala Wai  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2008-06-06T05:58:00Z,2021-02-18T12:17:00Z,21.28,-157.85,ALAWAI.txt
33,pmel_co2_moorings_b1d3_602a_9da4,TAO170W  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2005-07-04T00:50:00Z,2018-02-17T18:17:00Z,0.0,-170.0,TAO170W.txt
34,pmel_co2_moorings_c993_7f05_7d40,TAO165E  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-02-23T07:58:00Z,2020-08-07T21:17:00Z,0.0,165.0,TAO165E.txt
35,pmel_co2_moorings_8a73_1677_822e,TAO8S165E  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2009-06-22T06:41:00Z,2013-11-27T09:17:00Z,-8.0,165.0,TAO8S165E.txt
36,pmel_co2_moorings_bf98_0a93_1a18,TAO155W  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-01-13T22:58:00Z,2021-09-25T06:17:00Z,0.0,-155.0,TAO155W.txt
37,pmel_co2_moorings_3e17_4ac9_c1f7,Chuuk  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2011-11-18T12:17:00Z,2018-10-16T12:17:00Z,7.46,151.9,CHUUK.txt
38,pmel_co2_moorings_509b_0e87_dbc3,TAO140W  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2004-05-23T06:19:00Z,2020-03-20T15:17:00Z,0.0,-140.0,TAO140W.txt
39,pmel_co2_moorings_af32_4443_213a,TAO125W  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2004-05-08T00:19:00Z,2021-03-21T21:17:00Z,0.0,-125.0,TAO125W.txt
40,pmel_co2_moorings_ca69_976d_4677,TAO110W  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2009-09-19T04:28:00Z,2019-07-02T15:17:00Z,0.0,-110.0,TAO110W.txt
